epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.967,1.82553,4.5827,0.00694,0.01238,0.1969,0.03993,0.01641,2.02736,3.73755,0.01129,0.00019992,0.00019992,0.00019992
2,15.097,1.58544,3.39784,0.00588,0.95716,0.0443,0.06725,0.03629,1.7034,2.71426,0.00926,0.000402951,0.000402951,0.000402951
3,19.4064,1.62472,2.49837,0.00588,0.90187,0.10054,0.11075,0.073,1.51191,2.00929,0.00801,0.000601882,0.000601882,0.000601882
4,23.6772,1.58361,2.31498,0.00546,0.90731,0.132,0.13395,0.09286,1.53743,1.79663,0.00763,0.000692794,0.000692794,0.000692794
5,27.8914,1.55278,2.13025,0.00512,0.8031,0.14014,0.14793,0.10246,1.59326,1.67047,0.00724,0.000685726,0.000685726,0.000685726
6,32.0934,1.62695,1.97927,0.00499,0.9236,0.1489,0.1581,0.11297,1.59415,1.52869,0.00689,0.000678657,0.000678657,0.000678657
7,36.4119,1.72863,1.88022,0.00508,0.83885,0.15373,0.17126,0.12274,1.65335,1.47224,0.00662,0.000671588,0.000671588,0.000671588
8,40.6635,1.69511,1.79224,0.00469,0.85031,0.15778,0.21059,0.13948,1.65615,1.38694,0.00631,0.00066452,0.00066452,0.00066452
9,45.0307,1.68745,1.64703,0.00451,0.67157,0.23402,0.24368,0.14781,1.70227,1.35707,0.00637,0.000657451,0.000657451,0.000657451
10,49.3379,1.7169,1.56444,0.00438,0.57396,0.24625,0.25954,0.15985,1.70417,1.33373,0.00614,0.000650383,0.000650383,0.000650383
11,53.6684,1.72197,1.52394,0.00432,0.57781,0.26788,0.26798,0.16962,1.62636,1.32268,0.00576,0.000643314,0.000643314,0.000643314
12,57.8609,1.71842,1.45225,0.0043,0.67344,0.26556,0.2902,0.17491,1.62431,1.26061,0.00592,0.000636245,0.000636245,0.000636245
13,62.1869,1.71263,1.41638,0.00421,0.66471,0.26615,0.29249,0.17846,1.60537,1.1778,0.00577,0.000629177,0.000629177,0.000629177
14,66.5212,1.70228,1.39472,0.00415,0.72401,0.27413,0.31302,0.19069,1.58975,1.11994,0.00556,0.000622108,0.000622108,0.000622108
15,71.1576,1.68694,1.33636,0.00404,0.81763,0.28288,0.3235,0.19232,1.60175,1.1039,0.00578,0.00061504,0.00061504,0.00061504
16,75.572,1.65656,1.31817,0.00394,0.7894,0.28932,0.35303,0.20347,1.5803,1.07875,0.00551,0.000607971,0.000607971,0.000607971
17,80.099,1.63516,1.27454,0.00378,0.78004,0.30421,0.3439,0.2066,1.5528,1.05577,0.00542,0.000600902,0.000600902,0.000600902
18,85.1431,1.64293,1.25719,0.00384,0.76903,0.31756,0.36183,0.21068,1.57268,1.04162,0.00539,0.000593834,0.000593834,0.000593834
19,92.4703,1.6438,1.21901,0.00387,0.78112,0.33978,0.38377,0.21682,1.54808,1.03156,0.00531,0.000586765,0.000586765,0.000586765
20,99.6325,1.6423,1.19806,0.00385,0.7908,0.32454,0.39116,0.22074,1.55983,1.04532,0.00539,0.000579697,0.000579697,0.000579697
21,110.913,1.61718,1.18702,0.00375,0.82514,0.32467,0.40761,0.22852,1.53884,1.01009,0.00521,0.000572628,0.000572628,0.000572628
22,121.14,1.60598,1.14828,0.00367,0.56902,0.37632,0.4125,0.23174,1.55668,0.99684,0.00546,0.000565559,0.000565559,0.000565559
23,133.139,1.59719,1.13611,0.00365,0.52818,0.40227,0.42683,0.23599,1.55356,0.98897,0.0054,0.000558491,0.000558491,0.000558491
24,144.016,1.59749,1.11882,0.00363,0.55858,0.42059,0.43666,0.24094,1.53079,0.96371,0.00533,0.000551422,0.000551422,0.000551422
25,155.105,1.60074,1.0988,0.00362,0.55825,0.39755,0.39863,0.2233,1.56475,0.98959,0.00528,0.000544354,0.000544354,0.000544354
26,165.106,1.59004,1.07353,0.00365,0.59964,0.42281,0.42689,0.24151,1.56668,0.96182,0.00563,0.000537285,0.000537285,0.000537285
27,176.505,1.58052,1.06128,0.00368,0.63536,0.4438,0.44985,0.25944,1.58079,0.95769,0.00576,0.000530216,0.000530216,0.000530216
28,188.392,1.59211,1.04787,0.00351,0.38462,0.46179,0.46492,0.26454,1.5366,0.9323,0.00529,0.000523148,0.000523148,0.000523148
29,199.743,1.58793,1.05206,0.00356,0.40076,0.47916,0.45869,0.27045,1.5218,0.94544,0.00518,0.000516079,0.000516079,0.000516079
30,211.162,1.57837,1.03241,0.00351,0.40634,0.52776,0.47156,0.25748,1.57002,0.95347,0.0053,0.000509011,0.000509011,0.000509011
31,222.637,1.61245,1.01826,0.00358,0.40283,0.48836,0.47231,0.27254,1.55055,0.94922,0.00524,0.000501942,0.000501942,0.000501942
32,234.832,1.56898,1.02005,0.00352,0.55484,0.52636,0.50437,0.2912,1.55884,0.89955,0.00551,0.000494873,0.000494873,0.000494873
33,246.226,1.55777,1.00713,0.00346,0.47233,0.50829,0.49719,0.28672,1.52344,0.94287,0.00522,0.000487805,0.000487805,0.000487805
34,257.741,1.55507,0.98968,0.00339,0.41509,0.53076,0.48086,0.26699,1.51084,0.94968,0.00513,0.000480736,0.000480736,0.000480736
35,269.001,1.53359,0.98879,0.00343,0.46553,0.51271,0.50234,0.28763,1.52101,0.90703,0.00522,0.000473668,0.000473668,0.000473668
36,280.194,1.53495,0.95943,0.00334,0.5136,0.51804,0.50855,0.29542,1.53828,0.91474,0.00548,0.000466599,0.000466599,0.000466599
37,291.245,1.58221,0.97712,0.00345,0.54061,0.50542,0.5237,0.29991,1.52689,0.89064,0.00526,0.00045953,0.00045953,0.00045953
